communityarea,drug,nonviolent,violent,white,black,hispanic,asian,income
14,32,93,639,32,5,45,15,61759
57,24,29,195,15,1,77,6,50458
34,14,45,267,14,9,6,71,37123
70,39,114,666,10,45,43,1,71951
71,400,611,2406,1,95,3,0,37484
25,1348,988,4677,5,76,17,0,35555
45,28,84,376,0,97,1,1,41531
21,20,84,527,35,2,57,4,60000
19,145,209,1241,13,2,82,2,50767
72,12,42,174,55,32,7,1,113824
60,30,74,367,35,2,21,41,58670
58,77,113,659,7,1,81,10,41650
47,30,37,107,0,98,2,0,23632
48,36,83,428,2,93,3,0,49923
44,263,407,1927,1,97,1,0,32222
66,231,269,1855,2,40,55,1,36278
64,18,30,229,39,3,57,1,58168
35,45,150,829,11,65,5,15,35796
17,19,49,420,66,2,27,4,59737
27,595,380,1635,6,85,5,1,23067
52,39,77,385,13,2,85,0,43421
77,17,135,666,57,12,15,12,55768
9,1,13,80,87,1,9,1,86300
68,408,515,2206,1,92,4,1,22228
12,2,27,72,72,1,12,13,101559
37,33,90,255,5,87,7,1,17217
63,89,126,569,4,5,91,1,42271
56,68,88,377,45,4,49,1,
38,113,130,1061,4,90,3,1,39111
69,290,472,2200,1,96,1,0,26515
55,12,36,188,37,7,56,0,57847
20,52,76,397,10,5,83,2,54773
23,1685,603,2263,9,33,55,1,
41,8,53,326,47,24,8,14,52423
16,39,85,675,43,3,42,8,64598
11,15,67,250,61,1,25,10,76054
39,12,65,382,21,66,2,6,52336
6,39,277,1056,76,4,9,7,95173
7,23,171,558,80,4,6,7,123044
4,36,78,440,65,4,18,9,81149
22,66,183,1006,52,5,36,4,84653
32,92,404,1516,57,8,10,21,115988
31,59,148,662,22,3,68,5,52104
59,24,43,226,15,1,53,30,61814
18,11,19,174,28,4,62,5,43015
75,48,148,577,29,66,3,0,60747
74,5,35,118,87,4,6,2,89536
8,128,496,2147,69,7,6,14,114790
33,19,79,415,51,23,4,19,115993
28,163,404,1955,44,24,10,19,93202
61,195,255,1390,12,23,62,2,35396
5,13,55,200,78,2,12,5,125033
29,2047,760,2651,3,87,9,0,26781
13,12,42,185,48,3,20,25,56287
10,17,64,286,81,1,12,4,71282
36,4,21,198,4,87,6,2,36838
76,63,157,287,80,1,6,8,49295
15,44,140,820,49,1,42,5,66309
50,28,81,344,7,84,7,0,43539
54,33,136,511,2,95,3,0,13518
1,63,219,1024,44,27,19,5,46244
49,316,590,2155,1,96,1,0,37242
46,178,317,1493,3,75,21,0,28504
51,48,134,520,5,64,31,0,35056
30,267,323,1376,3,11,85,0,30701
43,330,501,2862,3,93,3,0,26425
3,65,201,975,54,18,15,11,55109
73,73,220,885,1,96,1,0,
40,53,160,972,2,92,2,0,27458
62,24,42,197,15,2,81,2,55380
67,448,650,2387,2,87,10,0,26439
26,1056,474,1553,3,92,4,0,29443
65,37,71,414,12,3,85,0,54758
53,152,350,1252,1,93,5,0,33898
2,52,132,893,41,12,19,24,53877
24,57,270,1334,63,6,21,5,104639
42,164,236,1121,8,82,3,3,26415
