"Year","Date","Primary.Type","Location.Description","DISTRICT","Latitude","Longitude","Location","near_bar","near_bar_name","bar_lat","bar_lng","DISTRICT.NAME","distance_range","time","time_cate"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.806060798,-87.590999348,"(41.806060798, -87.590999348)",579.691458354989,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/06/2023 03:10:00 PM","ASSAULT","ALLEY","3",41.768891175,-87.614133593,"(41.768891175, -87.614133593)",103.352063655093,"LEATHER LOUNGE",41.769231013,-87.615290699,"Grand Crossing","100~200",2024-04-22 15:10:00,"daytime"
2023,"09/06/2023 08:49:00 PM","CRIMINAL DAMAGE","STREET","1",41.853842942,-87.623842041,"(41.853842942, -87.623842041)",127.948124452854,"CHICAGO LEGEND",41.85395238,-87.625375873,"Central","100~200",2024-04-22 20:49:00,"nighttime"
2023,"09/06/2023 09:55:00 PM","BATTERY","SIDEWALK","5",41.686267711,-87.61979192,"(41.686267711, -87.61979192)",599.290386524706,"Doris 115 Club",41.68516465,-87.626837965,"Calumet","500~1000",2024-04-22 21:55:00,"nighttime"
2023,"09/06/2023 02:00:00 AM","ASSAULT","STREET","5",41.680916759,-87.632359783,"(41.680916759, -87.632359783)",658.76125295553,"Doris 115 Club",41.68516465,-87.626837965,"Calumet","500~1000",2024-04-22 02:00:00,"nighttime"
2023,"09/06/2023 01:00:00 AM","CRIMINAL DAMAGE","STREET","4",41.745316916,-87.59412899,"(41.745316916, -87.59412899)",698.092396928025,"LOOK IT OVER LOUNGE",41.7515355,-87.595348139,"South Chicago","500~1000",2024-04-22 01:00:00,"nighttime"
2023,"09/06/2023 09:41:00 AM","ASSAULT","STREET","5",41.662944028,-87.641411276,"(41.662944028, -87.641411276)",32.3439471416235,"JACK'S LOUNGE",41.662677267,-87.641255514,"Calumet","20~40",2024-04-22 09:41:00,"daytime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.807499342,-87.590234482,"(41.807499342, -87.590234482)",722.376883820868,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/06/2023 09:00:00 PM","CRIMINAL DAMAGE","STREET","4",41.731859652,-87.554778427,"(41.731859652, -87.554778427)",456.15192017435,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","400~500",2024-04-22 21:00:00,"nighttime"
2023,"09/06/2023 08:10:00 PM","BATTERY","STREET","4",41.700134558,-87.561983199,"(41.700134558, -87.561983199)",192.92549364775,"SOMEWHERE IN TIME",41.700489135,-87.559714255,"South Chicago","100~200",2024-04-22 20:10:00,"nighttime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.807135535,-87.589992936,"(41.807135535, -87.589992936)",679.662324542074,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/07/2023 12:00:00 AM","BATTERY","STREET","4",41.751317167,-87.563800456,"(41.751317167, -87.563800456)",86.5388312623601,"LEISURE LIFE LOUNGE",41.751863534,-87.564542243,"South Chicago","80~100",2024-04-22,"nighttime"
2023,"09/06/2023 10:10:00 AM","BATTERY","STREET","4",41.749224132,-87.577157314,"(41.749224132, -87.577157314)",561.519435626546,"NEW CELEBRITY LOUNGE INC",41.744456862,-87.574910022,"South Chicago","500~1000",2024-04-22 10:10:00,"daytime"
2023,"09/06/2023 10:23:00 PM","ASSAULT","STREET","1",41.848845969,-87.629244886,"(41.848845969, -87.629244886)",218.788657040343,"ROADSIDE ALL IN ONE",41.848085749,-87.626814476,"Central","200~300",2024-04-22 22:23:00,"nighttime"
2023,"09/06/2023 10:15:00 PM","ROBBERY","STREET","3",41.780415657,-87.605608794,"(41.780415657, -87.605608794)",502.407103466672,"INFLATION LOUNGE",41.780201228,-87.611645259,"Grand Crossing","500~1000",2024-04-22 22:15:00,"nighttime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.806890268,-87.589834384,"(41.806890268, -87.589834384)",651.086830439622,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/06/2023 12:30:00 PM","CRIMINAL DAMAGE","STREET","4",41.651250849,-87.547162057,"(41.651250849, -87.547162057)",58.0941688019506,"MUGS BUNNY",41.651761763,-87.547012655,"South Chicago","40~60",2024-04-22 12:30:00,"daytime"
2023,"09/06/2023 03:07:00 AM","CRIMINAL DAMAGE","STREET","5",41.691974413,-87.605980429,"(41.691974413, -87.605980429)",357.780099833615,"PULLMAN'S PUB",41.689064775,-87.607824578,"Calumet","300~400",2024-04-22 03:07:00,"nighttime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.807030055,-87.591930811,"(41.807030055, -87.591930811)",706.382928056455,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/06/2023 12:55:00 AM","BATTERY","SIDEWALK","1",41.879060101,-87.626107881,"(41.879060101, -87.626107881)",17.1159678977727,"2 TWENTY 2 TAVERN",41.878949977,-87.626252117,"Central","0~20",2024-04-22 00:55:00,"nighttime"
2023,"09/06/2023 06:20:00 AM","ROBBERY","SIDEWALK","4",41.754787799,-87.576054836,"(41.754787799, -87.576054836)",1011.08902632232,"LEISURE LIFE LOUNGE",41.751863534,-87.564542243,"South Chicago","1000~1500",2024-04-22 06:20:00,"daytime"
2023,"09/06/2023 11:12:00 PM","BATTERY","STREET","5",41.69073279,-87.626461055,"(41.69073279, -87.626461055)",189.5448531534,"DORIS ONE ELEVEN CLUB",41.692436269,-87.626323936,"Calumet","100~200",2024-04-22 23:12:00,"nighttime"
2023,"09/06/2023 04:15:00 PM","ASSAULT","STREET","5",41.706875037,-87.628265515,"(41.706875037, -87.628265515)",1119.28413493788,"MIKE'S LOUNGE",41.70755755,-87.614848221,"Calumet","1000~1500",2024-04-22 16:15:00,"daytime"
2023,"09/06/2023 03:22:00 PM","BATTERY","STREET","3",41.769350572,-87.614747976,"(41.769350572, -87.614747976)",47.0403165523539,"LEATHER LOUNGE",41.769231013,-87.615290699,"Grand Crossing","40~60",2024-04-22 15:22:00,"daytime"
2023,"09/06/2023 05:08:00 AM","ROBBERY","STREET","4",41.736582312,-87.57692092,"(41.736582312, -87.57692092)",773.292937074296,"THE NEW RAVENS PLACE",41.734381091,-87.585739296,"South Chicago","500~1000",2024-04-22 05:08:00,"nighttime"
2023,"09/06/2023 08:02:00 PM","ROBBERY","STREET","4",41.718957929,-87.56568476,"(41.718957929, -87.56568476)",683.513443523498,"ROYAL LOUNGE",41.714581314,-87.559910506,"South Chicago","500~1000",2024-04-22 20:02:00,"nighttime"
2023,"09/06/2023 04:54:00 PM","CRIMINAL DAMAGE","STREET","4",41.74932776,-87.555274664,"(41.74932776, -87.555274664)",214.072620411477,"MR. P'S",41.749261154,-87.552702445,"South Chicago","200~300",2024-04-22 16:54:00,"daytime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.806890268,-87.589834384,"(41.806890268, -87.589834384)",651.086830439622,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/06/2023 03:30:00 PM","CRIMINAL DAMAGE","STREET","2",41.819767809,-87.600302468,"(41.819767809, -87.600302468)",1293.67165153817,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","1000~1500",2024-04-22 15:30:00,"daytime"
2023,"09/06/2023 04:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.805577741,-87.590564785,"(41.805577741, -87.590564785)",518.272103018894,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 16:00:00,"daytime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.806063471,-87.590988314,"(41.806063471, -87.590988314)",579.712831059065,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/06/2023 11:32:00 AM","CRIMINAL DAMAGE","ALLEY","4",41.703640622,-87.535285448,"(41.703640622, -87.535285448)",169.936476038718,"THE SHED",41.702615934,-87.533769285,"South Chicago","100~200",2024-04-22 11:32:00,"daytime"
2023,"09/06/2023 01:24:00 PM","ASSAULT","STREET","2",41.81641543,-87.629438806,"(41.81641543, -87.629438806)",930.195605952469,"TRUTH",41.8238513,-87.62428782,"Wentworth","500~1000",2024-04-22 13:24:00,"daytime"
2023,"09/06/2023 01:35:00 PM","BATTERY","SIDEWALK","2",41.793834595,-87.629289876,"(41.793834595, -87.629289876)",367.634459845245,"KITTY'S FRIENDLY LOUNGE",41.79060349,-87.630249543,"Wentworth","300~400",2024-04-22 13:35:00,"daytime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.813830355,-87.596621175,"(41.813830355, -87.596621175)",1051.0697726815,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","1000~1500",2024-04-22 18:00:00,"daytime"
2023,"09/07/2023 12:00:00 AM","CRIMINAL DAMAGE","STREET","2",41.801393686,-87.605723566,"(41.801393686, -87.605723566)",932.565457157456,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","500~1000",2024-04-22,"nighttime"
2023,"09/06/2023 05:30:00 PM","CRIMINAL DAMAGE","STREET","4",41.750577197,-87.584298575,"(41.750577197, -87.584298575)",925.167260715435,"LOOK IT OVER LOUNGE",41.7515355,-87.595348139,"South Chicago","500~1000",2024-04-22 17:30:00,"daytime"
2023,"09/06/2023 09:00:00 AM","ASSAULT","STREET","3",41.766249073,-87.575388558,"(41.766249073, -87.575388558)",90.6927701824654,"JEFFERY PUB",41.766818068,-87.576170828,"Grand Crossing","80~100",2024-04-22 09:00:00,"daytime"
2023,"09/06/2023 08:00:00 AM","BATTERY","STREET","3",41.767561769,-87.575112845,"(41.767561769, -87.575112845)",120.674830122255,"JEFFERY PUB",41.766818068,-87.576170828,"Grand Crossing","100~200",2024-04-22 08:00:00,"daytime"
2023,"09/06/2023 08:57:00 PM","CRIMINAL DAMAGE","STREET","2",41.806890268,-87.589834384,"(41.806890268, -87.589834384)",651.086830439622,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 20:57:00,"nighttime"
2023,"09/06/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","2",41.807104168,-87.591933624,"(41.807104168, -87.591933624)",714.19285991691,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","500~1000",2024-04-22 18:00:00,"daytime"
2023,"08/31/2023 03:15:00 PM","BATTERY","STREET","3",41.77587085,-87.609476619,"(41.77587085, -87.609476619)",386.236110630871,"FLAMINGO COCKTAIL LOUNGE",41.773623639,-87.605931432,"Grand Crossing","300~400",2024-04-22 15:15:00,"daytime"
2023,"09/07/2023 12:00:00 AM","CRIMINAL DAMAGE","STREET","2",41.813830355,-87.596621175,"(41.813830355, -87.596621175)",1051.0697726815,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","1000~1500",2024-04-22,"nighttime"
2023,"09/06/2023 10:30:00 PM","CRIMINAL DAMAGE","STREET","1",41.842539961,-87.620396075,"(41.842539961, -87.620396075)",632.023755612469,"BADERBRAU BREWING COMPANY",41.846944869,-87.625213611,"Central","500~1000",2024-04-22 22:30:00,"nighttime"
2023,"09/06/2023 10:00:00 AM","CRIMINAL DAMAGE","STREET","2",41.83368122,-87.612439993,"(41.83368122, -87.612439993)",798.868364711066,"NEW GRAND TERRACE",41.831172304,-87.621452991,"Wentworth","500~1000",2024-04-22 10:00:00,"daytime"
2023,"07/18/2023 09:50:00 PM","BATTERY","STREET","1",41.867205212,-87.643291977,"(41.867205212, -87.643291977)",113.277577692878,"BINNY'S",41.867951229,-87.642361632,"Central","100~200",2024-04-22 21:50:00,"nighttime"
2023,"09/05/2023 02:55:00 PM","ROBBERY","ALLEY","3",41.760340683,-87.588407406,"(41.760340683, -87.588407406)",191.447622028258,"CLUB ESCAPE",41.758864314,-87.587219247,"Grand Crossing","100~200",2024-04-22 14:55:00,"daytime"
2023,"09/07/2023 07:30:00 AM","CRIMINAL DAMAGE","STREET","2",41.819767809,-87.600302468,"(41.819767809, -87.600302468)",1293.67165153817,"LEON'S 722 LOUNGE",41.809622828,-87.607951193,"Wentworth","1000~1500",2024-04-22 07:30:00,"daytime"
2023,"09/07/2023 11:00:00 AM","SEX OFFENSE","STREET","1",41.883210375,-87.634335728,"(41.883210375, -87.634335728)",40.5658733994661,"STOCKS & BLONDES",41.882940597,-87.634006286,"Central","40~60",2024-04-22 11:00:00,"daytime"
2023,"09/07/2023 08:00:00 PM","ROBBERY","STREET","4",41.704574292,-87.565584886,"(41.704574292, -87.565584886)",454.723316014514,"JUAN & TINA'S",41.702669123,-87.560749255,"South Chicago","400~500",2024-04-22 20:00:00,"nighttime"
2023,"08/20/2023 10:23:00 AM","CRIMINAL DAMAGE","STREET","1",41.87227988,-87.629365941,"(41.87227988, -87.629365941)",82.1945732477371,"PRINTERS ROW WINE SHOP",41.872969717,-87.629007546,"Central","80~100",2024-04-22 10:23:00,"daytime"
2023,"09/07/2023 03:45:00 PM","ASSAULT","STREET","4",41.727483001,-87.558102666,"(41.727483001, -87.558102666)",119.854898953985,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","100~200",2024-04-22 15:45:00,"daytime"
2023,"09/07/2023 03:00:00 AM","ROBBERY","STREET","2",41.802842566,-87.610053363,"(41.802842566, -87.610053363)",760.844536365126,"THE NEW BONANZA LOUNGE",41.809565471,-87.611809951,"Wentworth","500~1000",2024-04-22 03:00:00,"nighttime"
2023,"09/07/2023 09:50:00 PM","ROBBERY","STREET","2",41.808500903,-87.616562762,"(41.808500903, -87.616562762)",171.367483913046,"RENAISSANCE BRONZEVILLE",41.810041912,-87.616461123,"Wentworth","100~200",2024-04-22 21:50:00,"nighttime"
2023,"09/07/2023 03:49:00 PM","BATTERY","SIDEWALK","5",41.667503644,-87.622282981,"(41.667503644, -87.622282981)",1633.38060952798,"MEMORY LANE",41.670394428,-87.64151373,"Calumet","1500~2000",2024-04-22 15:49:00,"daytime"
2023,"09/07/2023 08:25:00 PM","BATTERY","STREET","3",41.766587744,-87.620141588,"(41.766587744, -87.620141588)",157.944137830228,"RODNEY'S COCKTAIL LOUNGE",41.765690875,-87.621615609,"Grand Crossing","100~200",2024-04-22 20:25:00,"nighttime"
2023,"09/07/2023 04:30:00 PM","BATTERY","STREET","4",41.745538339,-87.575877716,"(41.745538339, -87.575877716)",144.594253919898,"NEW CELEBRITY LOUNGE INC",41.744456862,-87.574910022,"South Chicago","100~200",2024-04-22 16:30:00,"daytime"
2023,"09/07/2023 08:00:00 PM","CRIMINAL DAMAGE","STREET","1",41.841995708,-87.621580156,"(41.841995708, -87.621580156)",621.82090731023,"CHICAGO SOUTH LOOP HOTEL, LLC",41.845468162,-87.62745299,"Central","500~1000",2024-04-22 20:00:00,"nighttime"
2023,"09/07/2023 10:00:00 PM","CRIMINAL DAMAGE","STREET","4",41.684023859,-87.53405256,"(41.684023859, -87.53405256)",905.739174290273,"FAIR ELM TAP",41.690195639,-87.541163346,"South Chicago","500~1000",2024-04-22 22:00:00,"nighttime"
2023,"09/07/2023 01:00:00 AM","CRIMINAL DAMAGE","STREET","2",41.804246659,-87.590972609,"(41.804246659, -87.590972609)",390.0898591933,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","300~400",2024-04-22 01:00:00,"nighttime"
2023,"09/07/2023 05:00:00 PM","BATTERY","STREET","1",41.844026941,-87.622100808,"(41.844026941, -87.622100808)",414.572993420164,"BADERBRAU BREWING COMPANY",41.846944869,-87.625213611,"Central","400~500",2024-04-22 17:00:00,"daytime"
