"","Primary.Type","COMMUNITY.AREA.NAME","Crime_Count","Avg_Income"
"1","CONCEALED CARRY LICENSE VIOLATION","Near North Side",29,88669
"2","CRIM SEXUAL ASSAULT","Near North Side",759,88669
"3","CRIMINAL SEXUAL ASSAULT","Near North Side",642,88669
"4","CRIMINAL TRESPASS","Near North Side",14153,88669
"5","DECEPTIVE PRACTICE","Near North Side",27150,88669
"6","HUMAN TRAFFICKING","Near North Side",4,88669
"7","INTIMIDATION","Near North Side",143,88669
"8","LIQUOR LAW VIOLATION","Near North Side",674,88669
"9","NON-CRIMINAL","Near North Side",14,88669
"10","OTHER NARCOTIC VIOLATION","Near North Side",8,88669
"11","PROSTITUTION","Near North Side",3918,88669
"12","PUBLIC INDECENCY","Near North Side",19,88669
"13","PUBLIC PEACE VIOLATION","Near North Side",1391,88669
"14","RITUALISM","Near North Side",2,88669
"15","SEX OFFENSE","Near North Side",886,88669
"16","STALKING","Near North Side",195,88669
"17","THEFT","Near North Side",108547,88669
"18","DECEPTIVE PRACTICE","Lincoln Park",8743,71551
"19","LIQUOR LAW VIOLATION","Lincoln Park",409,71551
"20","PUBLIC INDECENCY","Lincoln Park",8,71551
"21","THEFT","Lincoln Park",51319,71551
"22","CRIMINAL SEXUAL ASSAULT","Loop",228,65526
"23","CRIMINAL TRESPASS","Loop",8272,65526
"24","DECEPTIVE PRACTICE","Loop",22124,65526
"25","INTIMIDATION","Loop",141,65526
"26","NON-CRIMINAL","Loop",10,65526
"27","OTHER NARCOTIC VIOLATION","Loop",16,65526
"28","PUBLIC INDECENCY","Loop",20,65526
"29","PUBLIC PEACE VIOLATION","Loop",1549,65526
"30","SEX OFFENSE","Loop",762,65526
"31","STALKING","Loop",134,65526
"32","THEFT","Loop",93226,65526
"33","CRIMINAL SEXUAL ASSAULT","Lake View",268,60058
"34","DECEPTIVE PRACTICE","Lake View",13337,60058
"35","LIQUOR LAW VIOLATION","Lake View",486,60058
"36","NON-CRIMINAL","Lake View",13,60058
"37","OBSCENITY","Lake View",19,60058
"38","OTHER NARCOTIC VIOLATION","Lake View",17,60058
"39","PUBLIC INDECENCY","Lake View",10,60058
"40","THEFT","Lake View",56637,60058
"41","CRIMINAL TRESPASS","Near South Side",7481,59077
"42","CONCEALED CARRY LICENSE VIOLATION","Near West Side",29,44689
"43","CRIMINAL DAMAGE","Near West Side",21567,44689
"44","CRIMINAL SEXUAL ASSAULT","Near West Side",288,44689
"45","CRIMINAL TRESPASS","Near West Side",10597,44689
"46","DECEPTIVE PRACTICE","Near West Side",13023,44689
"47","HUMAN TRAFFICKING","Near West Side",7,44689
"48","INTIMIDATION","Near West Side",163,44689
"49","MOTOR VEHICLE THEFT","Near West Side",12191,44689
"50","NON-CRIMINAL","Near West Side",9,44689
"51","OBSCENITY","Near West Side",28,44689
"52","PUBLIC INDECENCY","Near West Side",5,44689
"53","PUBLIC PEACE VIOLATION","Near West Side",1404,44689
"54","SEX OFFENSE","Near West Side",807,44689
"55","STALKING","Near West Side",178,44689
"56","THEFT","Near West Side",74628,44689
"57","BURGLARY","West Town",15686,43198
"58","CRIMINAL DAMAGE","West Town",27725,43198
"59","CRIMINAL SEXUAL ASSAULT","West Town",206,43198
"60","DECEPTIVE PRACTICE","West Town",9868,43198
"61","INTIMIDATION","West Town",120,43198
"62","LIQUOR LAW VIOLATION","West Town",702,43198
"63","MOTOR VEHICLE THEFT","West Town",12775,43198
"64","OBSCENITY","West Town",21,43198
"65","OTHER NARCOTIC VIOLATION","West Town",9,43198
"66","PUBLIC INDECENCY","West Town",6,43198
"67","ROBBERY","West Town",8528,43198
"68","SEX OFFENSE","West Town",889,43198
"69","STALKING","West Town",127,43198
"70","THEFT","West Town",71489,43198
"71","DECEPTIVE PRACTICE","Uptown",7665,35787
"72","NON-CRIMINAL","Uptown",5,35787
"73","SEX OFFENSE","Uptown",825,35787
"74","BURGLARY","Logan Square",11353,31908
"75","LIQUOR LAW VIOLATION","Logan Square",456,31908
"76","OTHER NARCOTIC VIOLATION","Logan Square",5,31908
"77","PUBLIC INDECENCY","Logan Square",5,31908
"78","RITUALISM","Logan Square",1,31908
"79","THEFT","Logan Square",44809,31908
"80","ARSON","CHICAGO",1317,28202
"81","ASSAULT","CHICAGO",39820,28202
"82","BATTERY","CHICAGO",118422,28202
"83","BURGLARY","CHICAGO",32559,28202
"84","CRIM SEXUAL ASSAULT","CHICAGO",2060,28202
"85","CRIMINAL DAMAGE","CHICAGO",71520,28202
"86","CRIMINAL TRESPASS","CHICAGO",17235,28202
"87","DECEPTIVE PRACTICE","CHICAGO",17612,28202
"88","DOMESTIC VIOLENCE","CHICAGO",1,28202
"89","GAMBLING","CHICAGO",1124,28202
"90","INTIMIDATION","CHICAGO",366,28202
"91","KIDNAPPING","CHICAGO",1177,28202
"92","LIQUOR LAW VIOLATION","CHICAGO",2018,28202
"93","MOTOR VEHICLE THEFT","CHICAGO",32743,28202
"94","NARCOTICS","CHICAGO",67321,28202
"95","OBSCENITY","CHICAGO",26,28202
"96","OFFENSE INVOLVING CHILDREN","CHICAGO",2573,28202
"97","OTHER NARCOTIC VIOLATION","CHICAGO",9,28202
"98","OTHER OFFENSE","CHICAGO",39582,28202
"99","PROSTITUTION","CHICAGO",8016,28202
